P( a | a ) = 0.794871794872
P( z | d ) = 0.000233045910044
P( a | e ) = 5.90841949778e-05
P( b | e ) = 5.90841949778e-05
P( c | e ) = 5.90841949778e-05
P( d | e ) = 0.0663515509601
P( e | e ) = 0.80070901034
P( f | e ) = 5.90841949778e-05
P( g | e ) = 5.90841949778e-05
P( h | e ) = 5.90841949778e-05
P( i | e ) = 5.90841949778e-05
P( j | e ) = 5.90841949778e-05
P( k | e ) = 5.90841949778e-05
P( l | e ) = 5.90841949778e-05
P( m | e ) = 5.90841949778e-05
P( n | e ) = 5.90841949778e-05
P( o | e ) = 5.90841949778e-05
P( p | e ) = 5.90841949778e-05
P( q | e ) = 5.90841949778e-05
P( r | e ) = 0.0648153618907
P( s | e ) = 5.90841949778e-05
P( t | e ) = 5.90841949778e-05
P( u | e ) = 5.90841949778e-05
P( v | e ) = 5.90841949778e-05
P( w | e ) = 0.0668242245199
P( x | e ) = 5.90841949778e-05
P( y | e ) = 5.90841949778e-05
P( z | e ) = 5.90841949778e-05
P( a | f ) = 0.000319488817891
P( b | f ) = 0.000319488817891
P( c | f ) = 0.0335463258786
P( d | f ) = 0.0309904153355
P( e | f ) = 0.000319488817891
P( f | f ) = 0.802875399361
P( g | f ) = 0.0361022364217
P( h | f ) = 0.000319488817891
P( i | f ) = 0.000319488817891
P( j | f ) = 0.000319488817891
P( k | f ) = 0.000319488817891
P( l | f ) = 0.000319488817891
P( m | f ) = 0.000319488817891
P( n | f ) = 0.000319488817891
P( o | f ) = 0.000319488817891
P( p | f ) = 0.000319488817891
P( q | f ) = 0.000319488817891
P( r | f ) = 0.0290734824281
P( s | f ) = 0.000319488817891
P( t | f ) = 0.0325878594249
P( u | f ) = 0.000319488817891
P( v | f ) = 0.0287539936102
P( w | f ) = 0.000319488817891
P( x | f ) = 0.000319488817891
P( y | f ) = 0.000319488817891
P( z | f ) = 0.000319488817891
P( a | g ) = 0.000388349514563
P( b | g ) = 0.0419417475728
P( c | g ) = 0.000388349514563
P( d | g ) = 0.000388349514563
P( e | g ) = 0.000388349514563
P( f | g ) = 0.0415533980583
P( g | g ) = 0.800776699029
P( h | g ) = 0.0306796116505
P( i | g ) = 0.000388349514563
P( j | g ) = 0.000388349514563
P( k | g ) = 0.000388349514563
P( l | g ) = 0.000388349514563
P( m | g ) = 0.000388349514563
P( n | g ) = 0.000388349514563
P( o | g ) = 0.000388349514563
P( p | g ) = 0.000388349514563
P( q | g ) = 0.000388349514563
P( r | g ) = 0.000388349514563
P( s | g ) = 0.000388349514563
P( t | g ) = 0.0411650485437
P( u | g ) = 0.000388349514563
P( v | g ) = 0.0361165048544
P( w | g ) = 0.000388349514563
P( x | g ) = 0.000388349514563
P( y | g ) = 0.000388349514563
P( z | g ) = 0.000388349514563
P( a | h ) = 0.000158931977114
P( b | h ) = 0.0437062937063
P( c | h ) = 0.000158931977114
P( d | h ) = 0.000158931977114
P( e | h ) = 0.000158931977114
P( f | h ) = 0.000158931977114
P( g | h ) = 0.0398919262556
P( h | h ) = 0.791163382072
P( i | h ) = 0.000158931977114
P( j | h ) = 0.0389383343929
P( k | h ) = 0.000158931977114
P( l | h ) = 0.000158931977114
P( m | h ) = 0.000158931977114
P( n | h ) = 0.0451366815003
P( o | h ) = 0.000158931977114
P( p | h ) = 0.000158931977114
P( q | h ) = 0.000158931977114
P( r | h ) = 0.000158931977114
P( s | h ) = 0.000158931977114
P( t | h ) = 0.000158931977114
P( u | h ) = 0.000158931977114
P( v | h ) = 0.000158931977114
P( w | h ) = 0.000158931977114
P( x | h ) = 0.000158931977114
P( y | h ) = 0.0379847425302
P( z | h ) = 0.000158931977114
P( a | i ) = 9.78186442336e-05
P( b | i ) = 9.78186442336e-05
P( c | i ) = 9.78186442336e-05
P( d | i ) = 9.78186442336e-05
P( e | i ) = 9.78186442336e-05
P( f | i ) = 9.78186442336e-05
P( g | i ) = 9.78186442336e-05
P( h | i ) = 9.78186442336e-05
P( i | i ) = 0.79966741661
P( j | i ) = 0.0480289543187
P( k | i ) = 0.0513547882226
P( l | i ) = 9.78186442336e-05
P( m | i ) = 9.78186442336e-05
P( n | i ) = 9.78186442336e-05
P( o | i ) = 0.0526264305977
P( p | i ) = 9.78186442336e-05
P( q | i ) = 9.78186442336e-05
P( r | i ) = 9.78186442336e-05
P( s | i ) = 9.78186442336e-05
P( t | i ) = 9.78186442336e-05
P( u | i ) = 0.0462682187225
P( v | i ) = 9.78186442336e-05
P( w | i ) = 9.78186442336e-05
P( x | i ) = 9.78186442336e-05
P( y | i ) = 9.78186442336e-05
P( z | i ) = 9.78186442336e-05
P( a | j ) = 0.008
P( b | j ) = 0.008
P( c | j ) = 0.008
P( d | j ) = 0.008
P( e | j ) = 0.008
P( f | j ) = 0.008
P( g | j ) = 0.008
P( h | j ) = 0.024
P( i | j ) = 0.008
P( j | j ) = 0.632
P( k | j ) = 0.04
P( l | j ) = 0.008
P( m | j ) = 0.024
P( n | j ) = 0.032
P( o | j ) = 0.008
P( p | j ) = 0.008
P( q | j ) = 0.008
P( r | j ) = 0.008
P( s | j ) = 0.008
P( t | j ) = 0.008
P( u | j ) = 0.088
P( v | j ) = 0.008
P( w | j ) = 0.008
P( x | j ) = 0.008
P( y | j ) = 0.008
P( z | j ) = 0.008
P( a | k ) = 0.0017094017094
P( b | k ) = 0.0017094017094
P( c | k ) = 0.0017094017094
P( d | k ) = 0.0017094017094
P( e | k ) = 0.0017094017094
P( f | k ) = 0.0017094017094
P( g | k ) = 0.0017094017094
P( h | k ) = 0.0017094017094
P( i | k ) = 0.0376068376068
P( j | k ) = 0.0410256410256
P( k | k ) = 0.803418803419
P( l | k ) = 0.034188034188
P( m | k ) = 0.0478632478632
P( n | k ) = 0.0017094017094
P( o | k ) = 0.0017094017094
P( p | k ) = 0.0017094017094
P( q | k ) = 0.0017094017094
P( r | k ) = 0.0017094017094
P( s | k ) = 0.0017094017094
P( t | k ) = 0.0017094017094
P( u | k ) = 0.0017094017094
P( v | k ) = 0.0017094017094
P( w | k ) = 0.0017094017094
P( x | k ) = 0.0017094017094
P( y | k ) = 0.0017094017094
P( z | k ) = 0.0017094017094
P( a | l ) = 0.00016694490818
P( b | l ) = 0.00016694490818
P( c | l ) = 0.00016694490818
P( d | l ) = 0.00016694490818
P( e | l ) = 0.00016694490818
P( f | l ) = 0.00016694490818
P( g | l ) = 0.00016694490818
P( h | l ) = 0.00016694490818
P( i | l ) = 0.00016694490818
P( j | l ) = 0.00016694490818
P( k | l ) = 0.0659432387312
P( l | l ) = 0.801669449082
P( m | l ) = 0.00016694490818
P( n | l ) = 0.00016694490818
P( o | l ) = 0.065776293823
P( p | l ) = 0.062938230384
P( q | l ) = 0.00016694490818
P( r | l ) = 0.00016694490818
P( s | l ) = 0.00016694490818
P( t | l ) = 0.00016694490818
P( u | l ) = 0.00016694490818
P( v | l ) = 0.00016694490818
P( w | l ) = 0.00016694490818
P( x | l ) = 0.00016694490818
P( y | l ) = 0.00016694490818
P( z | l ) = 0.00016694490818
P( a | m ) = 0.00028019052956
P( b | m ) = 0.00028019052956
P( c | m ) = 0.00028019052956
P( d | m ) = 0.00028019052956
P( e | m ) = 0.00028019052956
P( f | m ) = 0.00028019052956
P( g | m ) = 0.00028019052956
P( h | m ) = 0.00028019052956
P( i | m ) = 0.00028019052956
P( j | m ) = 0.0652843933875
P( k | m ) = 0.0664051555057
P( l | m ) = 0.00028019052956
P( m | m ) = 0.800224152424
P( n | m ) = 0.0619221070328
P( o | m ) = 0.00028019052956
P( p | m ) = 0.00028019052956
P( q | m ) = 0.00028019052956
P( r | m ) = 0.00028019052956
P( s | m ) = 0.00028019052956
P( t | m ) = 0.00028019052956
P( u | m ) = 0.00028019052956
P( v | m ) = 0.00028019052956
P( w | m ) = 0.00028019052956
P( x | m ) = 0.00028019052956
P( y | m ) = 0.00028019052956
P( z | m ) = 0.00028019052956
P( a | n ) = 0.000108920596885
P( b | n ) = 0.0521729659079
P( c | n ) = 0.000108920596885
P( d | n ) = 0.000108920596885
P( e | n ) = 0.000108920596885
P( f | n ) = 0.000108920596885
P( g | n ) = 0.000108920596885
P( h | n ) = 0.0524997276985
P( i | n ) = 0.000108920596885
P( j | n ) = 0.0504302363577
P( k | n ) = 0.000108920596885
P( l | n ) = 0.000108920596885
P( m | n ) = 0.0483607450169
P( n | n ) = 0.794248992484
P( o | n ) = 0.000108920596885
P( p | n ) = 0.000108920596885
P( q | n ) = 0.000108920596885
P( r | n ) = 0.000108920596885
P( s | n ) = 0.000108920596885
P( t | n ) = 0.000108920596885
P( u | n ) = 0.000108920596885
P( v | n ) = 0.000108920596885
P( w | n ) = 0.000108920596885
P( x | n ) = 0.000108920596885
P( y | n ) = 0.000108920596885
P( z | n ) = 0.000108920596885
P( a | o ) = 8.90392663164e-05
P( b | o ) = 8.90392663164e-05
P( c | o ) = 8.90392663164e-05
P( d | o ) = 8.90392663164e-05
P( e | o ) = 8.90392663164e-05
P( f | o ) = 8.90392663164e-05
P( g | o ) = 8.90392663164e-05
P( h | o ) = 8.90392663164e-05
P( i | o ) = 0.0483483216098
P( j | o ) = 8.90392663164e-05
P( k | o ) = 0.0524441278604
P( l | o ) = 0.0517318137299
P( m | o ) = 8.90392663164e-05
P( n | o ) = 8.90392663164e-05
P( o | o ) = 0.793696019945
P( p | o ) = 0.0519098922625
P( q | o ) = 8.90392663164e-05
P( r | o ) = 8.90392663164e-05
P( s | o ) = 8.90392663164e-05
P( t | o ) = 8.90392663164e-05
P( u | o ) = 8.90392663164e-05
P( v | o ) = 8.90392663164e-05
P( w | o ) = 8.90392663164e-05
P( x | o ) = 8.90392663164e-05
P( y | o ) = 8.90392663164e-05
P( z | o ) = 8.90392663164e-05
P( a | p ) = 0.000325839035516
P( b | p ) = 0.000325839035516
P( c | p ) = 0.000325839035516
P( d | p ) = 0.000325839035516
P( e | p ) = 0.000325839035516
P( f | p ) = 0.000325839035516
P( g | p ) = 0.000325839035516
P( h | p ) = 0.000325839035516
P( i | p ) = 0.000325839035516
P( j | p ) = 0.000325839035516
P( k | p ) = 0.000325839035516
P( l | p ) = 0.100684261975
P( m | p ) = 0.000325839035516
P( n | p ) = 0.000325839035516
P( o | p ) = 0.0987292277615
P( p | p ) = 0.793092212447
P( q | p ) = 0.000325839035516
P( r | p ) = 0.000325839035516
P( s | p ) = 0.000325839035516
P( t | p ) = 0.000325839035516
P( u | p ) = 0.000325839035516
P( v | p ) = 0.000325839035516
P( w | p ) = 0.000325839035516
P( x | p ) = 0.000325839035516
P( y | p ) = 0.000325839035516
P( z | p ) = 0.000325839035516
P( a | q ) = 0.0828402366864
P( b | q ) = 0.00591715976331
P( c | q ) = 0.00591715976331
P( d | q ) = 0.00591715976331
P( e | q ) = 0.00591715976331
P( f | q ) = 0.00591715976331
P( g | q ) = 0.00591715976331
P( h | q ) = 0.00591715976331
P( i | q ) = 0.00591715976331
P( j | q ) = 0.00591715976331
P( k | q ) = 0.00591715976331
P( l | q ) = 0.00591715976331
P( m | q ) = 0.00591715976331
P( n | q ) = 0.00591715976331
P( o | q ) = 0.00591715976331
P( p | q ) = 0.00591715976331
P( q | q ) = 0.680473372781
P( r | q ) = 0.00591715976331
P( s | q ) = 0.00591715976331
P( t | q ) = 0.00591715976331
P( u | q ) = 0.00591715976331
P( v | q ) = 0.00591715976331
P( w | q ) = 0.100591715976
P( x | q ) = 0.00591715976331
P( y | q ) = 0.00591715976331
P( z | q ) = 0.00591715976331
P( a | r ) = 0.000128932439402
P( b | r ) = 0.000128932439402
P( c | r ) = 0.000128932439402
P( d | r ) = 0.0524755028365
P( e | r ) = 0.0501547189273
P( f | r ) = 0.0491232594121
P( g | r ) = 0.000128932439402
P( h | r ) = 0.000128932439402
P( i | r ) = 0.000128932439402
P( j | r ) = 0.000128932439402
P( k | r ) = 0.000128932439402
P( l | r ) = 0.000128932439402
P( m | r ) = 0.000128932439402
P( n | r ) = 0.000128932439402
P( o | r ) = 0.000128932439402
P( p | r ) = 0.000128932439402
P( q | r ) = 0.000128932439402
P( r | r ) = 0.791129448169
P( s | r ) = 0.000128932439402
P( t | r ) = 0.0544094894275
P( u | r ) = 0.000128932439402
P( v | r ) = 0.000128932439402
P( w | r ) = 0.000128932439402
P( x | r ) = 0.000128932439402
P( y | r ) = 0.000128932439402
P( z | r ) = 0.000128932439402
P( a | s ) = 0.0426467355463
P( b | s ) = 0.000109914266872
P( c | s ) = 0.000109914266872
P( d | s ) = 0.0402286216751
P( e | s ) = 0.000109914266872
P( f | s ) = 0.000109914266872
P( g | s ) = 0.000109914266872
P( h | s ) = 0.000109914266872
P( i | s ) = 0.000109914266872
P( j | s ) = 0.000109914266872
P( k | s ) = 0.000109914266872
P( l | s ) = 0.000109914266872
P( m | s ) = 0.000109914266872
P( n | s ) = 0.000109914266872
P( o | s ) = 0.000109914266872
P( p | s ) = 0.000109914266872
P( q | s ) = 0.000109914266872
P( r | s ) = 0.000109914266872
P( s | s ) = 0.79621894922
P( t | s ) = 0.000109914266872
P( u | s ) = 0.000109914266872
P( v | s ) = 0.000109914266872
P( w | s ) = 0.0384699934051
P( x | s ) = 0.0423169927457
P( y | s ) = 0.000109914266872
P( z | s ) = 0.0379204220708
P( a | t ) = 7.71664480284e-05
P( b | t ) = 7.71664480284e-05
P( c | t ) = 7.71664480284e-05
P( d | t ) = 7.71664480284e-05
P( e | t ) = 7.71664480284e-05
P( f | t ) = 0.0496180260823
P( g | t ) = 0.0495408596342
P( h | t ) = 7.71664480284e-05
P( i | t ) = 7.71664480284e-05
P( j | t ) = 7.71664480284e-05
P( k | t ) = 7.71664480284e-05
P( l | t ) = 7.71664480284e-05
P( m | t ) = 7.71664480284e-05
P( n | t ) = 7.71664480284e-05
P( o | t ) = 7.71664480284e-05
P( p | t ) = 7.71664480284e-05
P( q | t ) = 7.71664480284e-05
P( r | t ) = 0.0510070221468
P( s | t ) = 7.71664480284e-05
P( t | t ) = 0.800987730535
P( u | t ) = 7.71664480284e-05
P( v | t ) = 7.71664480284e-05
P( w | t ) = 7.71664480284e-05
P( x | t ) = 7.71664480284e-05
P( y | t ) = 0.0472258661934
P( z | t ) = 7.71664480284e-05
P( a | u ) = 0.000267451190158
P( b | u ) = 0.000267451190158
P( c | u ) = 0.000267451190158
P( d | u ) = 0.000267451190158
P( e | u ) = 0.000267451190158
P( f | u ) = 0.000267451190158
P( g | u ) = 0.000267451190158
P( h | u ) = 0.0505482749398
P( i | u ) = 0.0518855308906
P( j | u ) = 0.044129446376
P( k | u ) = 0.000267451190158
P( l | u ) = 0.000267451190158
P( m | u ) = 0.000267451190158
P( n | u ) = 0.000267451190158
P( o | u ) = 0.000267451190158
P( p | u ) = 0.000267451190158
P( q | u ) = 0.000267451190158
P( r | u ) = 0.000267451190158
P( s | u ) = 0.000267451190158
P( t | u ) = 0.000267451190158
P( u | u ) = 0.800481412142
P( v | u ) = 0.000267451190158
P( w | u ) = 0.000267451190158
P( x | u ) = 0.000267451190158
P( y | u ) = 0.0473388606579
P( z | u ) = 0.000267451190158
P( a | v ) = 0.000550055005501
P( b | v ) = 0.041804180418
P( c | v ) = 0.0456545654565
P( d | v ) = 0.000550055005501
P( e | v ) = 0.000550055005501
P( f | v ) = 0.0533553355336
P( g | v ) = 0.0599559955996
P( h | v ) = 0.000550055005501
P( i | v ) = 0.000550055005501
P( j | v ) = 0.000550055005501
P( k | v ) = 0.000550055005501
P( l | v ) = 0.000550055005501
P( m | v ) = 0.000550055005501
P( n | v ) = 0.000550055005501
P( o | v ) = 0.000550055005501
P( p | v ) = 0.000550055005501
P( q | v ) = 0.000550055005501
P( r | v ) = 0.000550055005501
P( s | v ) = 0.000550055005501
P( t | v ) = 0.000550055005501
P( u | v ) = 0.000550055005501
P( v | v ) = 0.787678767877
P( w | v ) = 0.000550055005501
P( x | v ) = 0.000550055005501
P( y | v ) = 0.000550055005501
P( z | v ) = 0.000550055005501
P( a | w ) = 0.0460588793922
P( b | w ) = 0.000474833808167
P( c | w ) = 0.000474833808167
P( d | w ) = 0.000474833808167
P( e | w ) = 0.0436847103514
P( f | w ) = 0.000474833808167
P( g | w ) = 0.000474833808167
P( h | w ) = 0.000474833808167
P( i | w ) = 0.000474833808167
P( j | w ) = 0.000474833808167
P( k | w ) = 0.000474833808167
P( l | w ) = 0.000474833808167
P( m | w ) = 0.000474833808167
P( n | w ) = 0.000474833808167
P( o | w ) = 0.000474833808167
P( p | w ) = 0.000474833808167
P( q | w ) = 0.0512820512821
P( r | w ) = 0.000474833808167
P( s | w ) = 0.0522317188984
P( t | w ) = 0.000474833808167
P( u | w ) = 0.000474833808167
P( v | w ) = 0.000474833808167
P( w | w ) = 0.796771130104
P( x | w ) = 0.000474833808167
P( y | w ) = 0.000474833808167
P( z | w ) = 0.000474833808167
P( a | x ) = 0.0034965034965
P( b | x ) = 0.0034965034965
P( c | x ) = 0.0384615384615
P( d | x ) = 0.0629370629371
P( e | x ) = 0.0034965034965
P( f | x ) = 0.0034965034965
P( g | x ) = 0.0034965034965
P( h | x ) = 0.0034965034965
P( i | x ) = 0.0034965034965
P( j | x ) = 0.0034965034965
P( k | x ) = 0.0034965034965
P( l | x ) = 0.0034965034965
P( m | x ) = 0.0034965034965
P( n | x ) = 0.0034965034965
P( o | x ) = 0.0034965034965
P( p | x ) = 0.0034965034965
P( q | x ) = 0.0034965034965
P( r | x ) = 0.0034965034965
P( s | x ) = 0.0594405594406
P( t | x ) = 0.0034965034965
P( u | x ) = 0.0034965034965
P( v | x ) = 0.0034965034965
P( w | x ) = 0.0034965034965
P( x | x ) = 0.72027972028
P( y | x ) = 0.0034965034965
P( z | x ) = 0.0454545454545
P( a | y ) = 0.000357525920629
P( b | y ) = 0.000357525920629
P( c | y ) = 0.000357525920629
P( d | y ) = 0.000357525920629
P( e | y ) = 0.000357525920629
P( f | y ) = 0.000357525920629
P( g | y ) = 0.0507686807294
P( h | y ) = 0.0507686807294
P( i | y ) = 0.000357525920629
P( j | y ) = 0.000357525920629
P( k | y ) = 0.000357525920629
P( l | y ) = 0.000357525920629
P( m | y ) = 0.000357525920629
P( n | y ) = 0.000357525920629
P( o | y ) = 0.000357525920629
P( p | y ) = 0.000357525920629
P( q | y ) = 0.000357525920629
P( r | y ) = 0.000357525920629
P( s | y ) = 0.000357525920629
P( t | y ) = 0.0475509474437
P( u | y ) = 0.0421880586343
P( v | y ) = 0.000357525920629
P( w | y ) = 0.000357525920629
P( x | y ) = 0.000357525920629
P( y | y ) = 0.80121558813
P( z | y ) = 0.000357525920629
P( a | z ) = 0.041958041958
P( b | z ) = 0.00699300699301
P( c | z ) = 0.00699300699301
P( d | z ) = 0.00699300699301
P( e | z ) = 0.00699300699301
P( f | z ) = 0.00699300699301
P( g | z ) = 0.00699300699301
P( h | z ) = 0.00699300699301
P( i | z ) = 0.00699300699301
P( j | z ) = 0.00699300699301
P( k | z ) = 0.00699300699301
P( l | z ) = 0.00699300699301
P( m | z ) = 0.00699300699301
P( n | z ) = 0.00699300699301
P( o | z ) = 0.00699300699301
P( p | z ) = 0.00699300699301
P( q | z ) = 0.00699300699301
P( r | z ) = 0.00699300699301
P( s | z ) = 0.0839160839161
P( t | z ) = 0.00699300699301
P( u | z ) = 0.00699300699301
P( v | z ) = 0.00699300699301
P( w | z ) = 0.00699300699301
P( x | z ) = 0.0629370629371
P( y | z ) = 0.00699300699301
P( z | z ) = 0.657342657343
P( a ) = 1.0
P( b ) = 1.0
P( c ) = 1.0
P( d ) = 1.0
P( e ) = 1.0
P( f ) = 1.0
P( g ) = 1.0
P( h ) = 1.0
P( i ) = 1.0
P( j ) = 1.0
P( k ) = 1.0
P( l ) = 1.0
P( m ) = 1.0
P( n ) = 1.0
P( o ) = 1.0
P( p ) = 1.0
P( q ) = 1.0
P( r ) = 1.0
P( s ) = 1.0
P( t ) = 1.0
P( u ) = 1.0
P( v ) = 1.0
P( w ) = 1.0
P( x ) = 1.0
P( y ) = 1.0
P( z ) = 1.0
P( _ | _ ) = 3.67511944138e-05
P( a | _ ) = 0.105181918412
P( b | _ ) = 0.0495038588754
P( c | _ ) = 0.0415288496876
P( d | _ ) = 0.0289966923925
P( e | _ ) = 0.0308710033076
P( f | _ ) = 0.0359426681367
P( g | _ ) = 0.0168687982359
P( h | _ ) = 0.0354649026093
P( i | _ ) = 0.0806321205439
P( j | _ ) = 0.00202131569276
P( k | _ ) = 0.00279309077545
P( l | _ ) = 0.0222344726204
P( m | _ ) = 0.0403528114664
P( n | _ ) = 0.0263873575891
P( o | _ ) = 0.078243292907
P( p | _ ) = 0.0536567438442
P( q | _ ) = 0.00121278941566
P( r | _ ) = 0.0262036016171
P( s | _ ) = 0.0753031973539
P( t | _ ) = 0.174788680632
P( u | _ ) = 0.010216832047
P( v | _ ) = 0.00481440646821
P( w | _ ) = 0.0538037486218
P( x | _ ) = 0.000147004777655
P( y | _ ) = 0.00275633958104
P( z | _ ) = 3.67511944138e-05
P( _ | a ) = 0.0676289492278
P( a | a ) = 0.000100938730191
P( b | a ) = 0.0225093368325
P( c | a ) = 0.0390632885838
P( d | a ) = 0.0283637831836
P( e | a ) = 0.000201877460382
P( f | a ) = 0.00423942666801
P( g | a ) = 0.0201877460382
P( h | a ) = 0.000504693650954
P( i | a ) = 0.0273543958817
P( j | a ) = 0.00232159079439
P( k | a ) = 0.0192792974664
P( l | a ) = 0.135863530837
P( m | a ) = 0.0193802361966
P( n | a ) = 0.194307055617
P( o | a ) = 0.000403754920763
P( p | a ) = 0.0181689714343
P( q | a ) = 0.000302816190572
P( r | a ) = 0.0901382860604
P( s | a ) = 0.0647017260523
P( t | a ) = 0.166750782275
P( u | a ) = 0.0161501968305
P( v | a ) = 0.0331079035026
P( w | a ) = 0.00282628444534
P( x | a ) = 0.000504693650954
P( y | a ) = 0.0249318663571
P( z | a ) = 0.000706571111335
P( _ | b ) = 0.0096251266464
P( a | b ) = 0.0379939209726
P( b | b ) = 0.00253292806484
P( c | b ) = 0.00101317122594
P( d | b ) = 0.000506585612969
P( e | b ) = 0.40780141844
P( f | b ) = 0.00101317122594
P( g | b ) = 0.000506585612969
P( h | b ) = 0.000506585612969
P( i | b ) = 0.0369807497467
P( j | b ) = 0.0081053698075
P( k | b ) = 0.000506585612969
P( l | b ) = 0.145896656535
P( m | b ) = 0.00101317122594
P( n | b ) = 0.00202634245187
P( o | b ) = 0.0618034447822
P( p | b ) = 0.000506585612969
P( q | b ) = 0.000506585612969
P( r | b ) = 0.0359675785208
P( s | b ) = 0.0081053698075
P( t | b ) = 0.00861195542047
P( u | b ) = 0.126646403242
P( v | b ) = 0.00405268490375
P( w | b ) = 0.000506585612969
P( x | b ) = 0.000506585612969
P( y | b ) = 0.096251266464
P( z | b ) = 0.000506585612969
P( _ | c ) = 0.034156015866
P( a | c ) = 0.159982371089
P( b | c ) = 0.000220361392684
P( c | c ) = 0.0154252974879
P( d | c ) = 0.000220361392684
P( e | c ) = 0.141912736888
P( f | c ) = 0.000220361392684
P( g | c ) = 0.000220361392684
P( h | c ) = 0.162847069193
P( i | c ) = 0.136844424857
P( j | c ) = 0.000220361392684
P( k | c ) = 0.0114587924196
P( l | c ) = 0.0207139709123
P( m | c ) = 0.000220361392684
P( n | c ) = 0.000220361392684
P( o | c ) = 0.145879241957
P( p | c ) = 0.000220361392684
P( q | c ) = 0.00264433671221
P( r | c ) = 0.034156015866
P( s | c ) = 0.00286469810489
P( t | c ) = 0.0949757602468
P( u | c ) = 0.0284266196562
P( v | c ) = 0.000220361392684
P( w | c ) = 0.000220361392684
P( x | c ) = 0.000220361392684
P( y | c ) = 0.00506831203173
P( z | c ) = 0.000220361392684
P( _ | d ) = 0.473205964585
P( a | d ) = 0.0219012115564
P( b | d ) = 0.000232991612302
P( c | d ) = 0.000698974836906
P( d | d ) = 0.00442684063374
P( e | d ) = 0.175675675676
P( f | d ) = 0.000465983224604
P( g | d ) = 0.00186393289842
P( h | d ) = 0.000465983224604
P( i | d ) = 0.0990214352283
P( j | d ) = 0.00186393289842
P( k | d ) = 0.000232991612302
P( l | d ) = 0.00465983224604
P( m | d ) = 0.000698974836906
P( n | d ) = 0.00279589934762
P( o | d ) = 0.0752562907735
P( p | d ) = 0.000465983224604
P( q | d ) = 0.000232991612302
P( r | d ) = 0.0195712954334
